,C3L-02665,C3L-01663,C3N-02575,C3L-02546,C3L-00965,C3L-02963,C3N-04162,C3L-02646,C3N-02285,C3N-03875,C3N-03424,C3N-01017,C3L-00081,C3L-02649,C3L-01838,C3N-02252,C3L-03963,C3N-03072,C3L-02969,C3N-03662,C3N-03051,C3N-02434,C3L-02127,C3N-02339,C3L-03961,C3L-04391,C3L-02619,C3N-02494,C3N-03880,C3N-03092,C3L-02669,C3N-03877,C3N-01846,C3L-02964,C3N-00247,C3N-02288,C3L-01606,C3L-02164,C3N-02374,C3N-02675,C3N-02523,C3L-02130,C3N-02426,C3N-02284,C3L-00923,C3N-03486,C3N-04127,C3L-02951,C3L-02629,C3L-04013,C3N-00221,C3L-00568,C3N-04155,C3N-01025,C3L-02552,C3N-02375,C3L-02660,C3L-01884,C3N-02300,C3L-01285,C3L-02627,C3L-00993,C3N-02425,C3L-02170,C3N-00555,C3N-01893,C3N-03093,C3L-01455,C3N-03848,C3L-02968,C3N-03204,C3L-00445,C3N-02283,C3N-02289,C3L-03962,C3L-03272,C3N-01411,C3L-00415,C3N-03882,C3L-01000,C3L-02650,C3L-02358,C3L-02168,C3L-02625,C3N-01028,C3N-02435,C3N-03441,C3L-04071,C3N-01020,C3N-00497,C3N-01194,C3L-02648,C3L-03678,C3L-02891,C3L-00927,C3N-03886,C3L-04014,C3N-03076,C3N-03425,C3L-02163,C3N-04124,C3L-00904,C3N-00211,C3N-01892,C3L-00603,C3L-03965,C3N-03851,C3L-02349
CDC42BPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYO3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK1,22.585864796801886,22.772709205844414,22.3043906540178,23.39442867389566,22.75486652458251,20.980443019278905,20.35972245284526,21.325382431871482,21.444452053481864,21.412971048021056,22.405305748032788,22.059751501913954,21.854128096858034,21.715818314036365,21.972459138397923,21.307238331633197,21.47246395868061,21.66315977507917,21.4141163147275,21.5623372511186,21.24379394292534,21.217155096310787,20.869256824972897,21.411119614088296,21.764955512927155,22.910740396163188,22.96488142282545,23.033800299661515,22.992303059976813,23.077196237654015,22.70244332063693,22.226535361656545,22.301723110837656,22.546223976376123,22.463914242469244,23.183466917147697,23.348849586812538,22.937640698949988,22.41814621427695,22.35913769252424,22.52913801308963,21.723057829728297,22.446840527855848,21.84430262635173,22.41940304454551,22.75960939292573,22.772903058396142,23.003469094089358,23.38877182605097,20.416544063075268,21.430503403377255,21.869632510101223,21.031689175028223,21.340335829855942,22.69766296843175,21.91233598182339,22.786230998493167,22.391288558778484,22.647907939793647,20.84484995782602,21.53251204486716,20.64461750605881,20.88363709631303,20.961009709971883,21.62482451963768,21.850393387476036,21.306280887484064,21.540850502573427,22.3151491118888,22.252317518569367,21.98052921710987,21.95816600838382,21.626065514437663,22.317626234920123,22.256491726704013,22.031407925216115,22.29406694233844,22.49813757832103,21.17177499241511,22.03748622600062,21.86758495826521,22.14352491167751,21.843981074733907,20.973958304654918,20.770642367172115,21.216903649045868,21.15944548489082,20.792170038571328,22.626279205877143,22.478601290560775,22.670052684420856,22.50204183045229,22.503715357436178,21.478175941488654,21.078202042770382,20.9967448041266,21.773513812432427,21.49990609640895,20.53702306866607,21.117557629799798,21.155581644619247,21.02526187576638,20.721198811909208,21.666617315850004,21.799242015701044,21.57683009641887,21.350726300465794,21.609722045102377
MAPKAPK3,27.902730953631032,28.0376197876753,26.94631366792377,27.6475546697539,26.814908219618236,26.876105104694602,27.072848553485034,27.677826901709903,28.3296609033227,28.028780140445566,27.494639888442098,27.7703363186464,26.26513380569037,26.5996146565995,27.6395474714939,28.54613614641077,26.711442707001268,26.910168079723732,27.4378098766242,26.95100968746317,28.247936743127866,26.882204625632966,27.31723053553793,27.805822764044432,27.6688771993589,26.630595348864702,27.554707594042203,27.196129849788132,26.794680169820897,26.655619677926506,27.33423180428753,26.32591771049857,27.817953610827967,27.683147120695804,27.399995008647696,26.7149571144782,27.9774951316592,27.7766974303026,27.566012006116633,27.02208187683503,26.692273064604635,27.3948262469399,26.463013723383668,27.6474477502266,27.21474627142887,27.0505065007297,27.6440065859916,27.61792048017497,27.43212321266883,25.5237606636694,26.294013092020002,26.486308084897452,26.58168400353345,26.40791516354015,26.844127873549667,26.967758371354634,27.707878084037002,28.612552064000866,27.7963246857358,26.0688611610545,27.161890248759565,26.811560360178095,27.168701814728333,27.744462897017836,27.364732001413334,28.829988589361466,27.0184199884485,27.329159291021835,27.2970406256518,26.918654391897167,27.67309395749683,26.737795420986732,26.032812343351367,27.215883615282966,26.583185280167367,26.942940762448234,27.307750224522266,27.7254117076774,27.520046199354766,26.62360431901493,27.9785962380169,27.5069840332759,26.509153505516764,28.673593830918165,27.520063385216602,26.553090235173897,27.489617339495464,27.362843475857563,27.2329372382614,27.18243288589157,27.5813195478746,26.9389927883685,27.396820985444965,27.327095139502536,26.244787667101466,26.020219493637,26.986409378555532,26.6770875481073,27.28780047222,26.403490221622132,26.954722991785598,27.224008790642333,26.6727621534734,26.967607765896833,27.60386542964707,26.70387860167553,27.126194034901832,27.980519778003067
NEK11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP2K1,25.0873988470875,25.08802303676357,24.89841184184865,24.20436474321693,24.138148645490066,23.3086138462883,23.5189675391352,26.6122853427059,26.1371053176545,25.27774722244485,26.23877662916835,24.598701727300135,23.018981274490802,23.263597207523564,23.6838520086169,22.4919819454951,21.657363885842052,22.358360009422977,22.375238518250622,21.8321868691664,20.467462526916556,20.3663962043694,20.74106263581636,21.61778602552642,20.88386148517944,21.807868749386927,21.37024974042775,22.56356698596655,21.16126247107845,21.69083666774155,21.300805583405122,21.827536863415474,22.36867352588625,21.57139131679797,22.807144479807,21.09138666707862,20.64974531470262,21.0053221144004,20.671544766390063,21.8490122852256,21.263075994965774,21.573892392712324,21.758035763786324,21.129003201138325,23.05023175164227,22.419127318858937,22.94861595005547,22.391651213985735,22.99294195118217,22.551662643960565,23.62586554494347,23.50208240954127,24.068898568553802,23.37913318701453,23.4676473759351,23.8463787060623,24.231115079078865,23.2217820410272,23.909543885365835,21.50936527804973,21.880413439428803,22.296251357203335,21.9645894908577,22.5985804655128,21.917820033866935,23.808343642499604,22.8305417556972,23.040246483664266,26.69338727361725,25.8594763160356,26.0371555619185,24.02227703670075,24.95420045558645,24.143327101791737,23.447587354765233,23.440899153229935,22.952300114537866,23.4992832342032,25.73822572535765,26.3508150596858,25.7807810654963,24.31281424328955,24.467468475554497,23.2375076929851,23.95336005614543,23.602600015184834,24.384517577826568,23.896613170238933,23.1808045839221,26.92584300901975,24.79698282587893,23.966260051118496,24.819076006438802,25.256030616524498,24.16461667778005,25.2842303226318,24.81842727982875,26.5184445630558,25.51154275549225,24.5193783722135,25.52886181750725,24.5012839365572,24.023136744802848,23.690141831606265,22.5848446488078,22.275095278159696,22.641307871046667,22.441419951515133
MAP3K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,22.9680918512829,23.286529559885608,22.82447646921967,23.315528811913637,22.74384638257312,22.728806597668218,22.335481181844436,22.942820931367518,22.937386996680917,23.003406642264437,22.88386863075928,22.725160296158215,22.58220624767369,22.670187502393045,22.859738499381482,22.78559357459693,22.530279346445816,22.91953156786888,22.564658754445915,22.616430379181462,23.15459364661364,22.775878488788152,22.76558842880063,22.85304901092184,22.865679917211217,22.746538284119463,23.205227508833193,22.954381672784926,22.74104267567605,22.879890227383207,22.723882129215887,22.644430623602215,22.895902929927015,23.15892668249985,22.984356243942276,22.888312314226663,22.93981078635531,22.90402689135578,22.733143231320508,23.31897676277819,23.195151072946533,23.210661896000847,23.380666220245796,22.94976840749255,22.84654023028038,22.508709535371768,22.788991654038757,22.82015503173978,22.654402514484683,21.98192209122758,22.545715587758973,22.29325422402799,22.469927933800985,22.320606803810612,22.73819906548886,22.730319585542947,22.80021674274826,22.693639978882235,23.151472983928674,22.32647558667509,22.87232599401136,22.816863576310702,22.799114809127236,22.760802708554916,22.30493732398552,22.65913949437749,22.512724572887226,22.623071403107318,23.02660023199999,22.920576123281617,22.590015021952535,22.480389744631747,22.19382784790022,22.555203887846577,22.341169012471102,22.281327178516943,22.42802804665986,22.865206638508514,22.240914367220093,22.671449637281167,22.57381327207506,22.836395306078895,22.288189424413844,22.376559061004347,22.339507532427614,22.060264106949457,22.55495501963247,22.51421079939749,22.186995117142093,22.36977006256708,22.601466645137577,22.111972924328576,22.293735588675826,22.356846032775223,21.962605499382196,22.293734072421085,22.57822668471178,22.486547132078858,22.703597794514348,22.384393323459268,22.80776509184996,22.556968330981025,22.259838528881893,22.48972185308018,22.400640006829928,22.07879597212025,22.009292536380364,22.165045185953574
EPHB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
